task,model,model_tag,n_examples,n_perms,flip_rate,avg_unique_preds,wall_s_total,avg_s_per_example
arc_challenge,Qwen/Qwen3-0.6B,qwen3_0_6b,200,10,0.72,2.24,69.46337600001425,0.34731688000007127
openbookqa,Qwen/Qwen3-0.6B,qwen3_0_6b,200,10,0.77,2.385,64.7752679999976,0.323876339999988
commonsenseqa,Qwen/Qwen3-0.6B,qwen3_0_6b,200,10,0.815,2.815,71.42445609999413,0.35712228049997063
truthfulqa_mc1,Qwen/Qwen3-0.6B,qwen3_0_6b,200,10,0.89,2.76,100.56242580000253,0.5028121290000126
mmlu_all,Qwen/Qwen3-0.6B,qwen3_0_6b,200,10,0.81,2.57,73.6268579000025,0.36813428950001253
hellaswag,Qwen/Qwen3-0.6B,qwen3_0_6b,200,10,0.835,2.51,79.99636300001293,0.3999818150000647
winogrande_xs,Qwen/Qwen3-0.6B,qwen3_0_6b,200,10,0.43,1.43,55.42248949999339,0.27711244749996694
arc_challenge,Qwen/Qwen3-1.7B,qwen3_1_7b,200,10,0.42,1.62,125.7929002000019,0.6289645010000094
openbookqa,Qwen/Qwen3-1.7B,qwen3_1_7b,200,10,0.505,1.745,108.3728834999929,0.5418644174999645
commonsenseqa,Qwen/Qwen3-1.7B,qwen3_1_7b,200,10,0.535,1.795,130.87976470000285,0.6543988235000142
truthfulqa_mc1,Qwen/Qwen3-1.7B,qwen3_1_7b,200,10,0.68,2.21,195.20693069999106,0.9760346534999553
mmlu_all,Qwen/Qwen3-1.7B,qwen3_1_7b,200,10,0.69,2.28,134.72443689999636,0.6736221844999818
hellaswag,Qwen/Qwen3-1.7B,qwen3_1_7b,200,10,0.825,2.53,153.48465549999673,0.7674232774999836
winogrande_xs,Qwen/Qwen3-1.7B,qwen3_1_7b,200,10,0.42,1.42,70.3387412000011,0.3516937060000055
