task,model,model_tag,method,n,accuracy,acc_ci95_lo,acc_ci95_hi,mean_nll,mean_brier,ece15,mean_entropy,mean_margin,mean_top_prob,wall_s_total,avg_s_per_example,avg_perms_used,max_perms,min_perms,js_eps,torch_dtype
arc_challenge,Qwen/Qwen3-0.6B,qwen3_0_6b,single,1172,0.512798634812286,0.48547355085611305,0.540102362632751,2.347517077379565,0.7967011388271911,0.34174557310937403,0.36072263327116005,0.7369843797398871,0.8545442079216601,37.30176389999542,0.031612014163850004,,,,,auto
arc_challenge,Qwen/Qwen3-0.6B,qwen3_0_6b,pcons,1172,0.5580204778156991,0.5298634767532341,0.5861774682998651,6.371920115046872,0.8551189349592581,0.42002698066014205,0.05586985692713901,0.957059252755424,0.9780474584758421,172.57387690000178,0.146911004607473,4.662116040955631,7.0,3.0,0.005,auto
arc_challenge,Qwen/Qwen3-0.6B,qwen3_0_6b,latin,1172,0.572525597269624,0.544368624687194,0.602389097213745,4.924557748815846,0.79140004287173,0.38239095830542,0.11393384516877302,0.911629969748118,0.953576812420122,145.6659967999949,0.12405860580200401,3.9965870307167233,7.0,3.0,0.005,auto
openbookqa,Qwen/Qwen3-0.6B,qwen3_0_6b,single,500,0.47000000000000003,0.425999999046325,0.5159999728202821,2.365903317876669,0.849557115654841,0.376051630432127,0.384370223244729,0.723347975355025,0.845897183329634,13.63434899999993,0.027159459999907,,,,,auto
openbookqa,Qwen/Qwen3-0.6B,qwen3_0_6b,pcons,500,0.53,0.48600000143051103,0.5740000009536741,6.56631795339782,0.9034181451296021,0.44819500792494305,0.062441789450161,0.9546206902229911,0.9765227174249941,63.60807759999443,0.126980451999916,4.718,7.0,3.0,0.005,auto
openbookqa,Qwen/Qwen3-0.6B,qwen3_0_6b,latin,500,0.546,0.501999974250793,0.5899999737739561,5.324780847715836,0.85317010159073,0.414226663886589,0.130312662100619,0.9013290515129321,0.9462419754208071,52.05747509999492,0.10398563500015001,4.0,7.0,3.0,0.005,auto
commonsenseqa,Qwen/Qwen3-0.6B,qwen3_0_6b,single,1221,0.48075348075348,0.452088445425033,0.509418487548828,2.956077543158393,0.890166574094268,0.396590467187495,0.31844799217096104,0.768831957503594,0.874562453452781,38.57528269999602,0.031412682555243,,,,,auto
commonsenseqa,Qwen/Qwen3-0.6B,qwen3_0_6b,pcons,1221,0.5470925470925471,0.517608523368835,0.5741195678710931,7.775102559824485,0.8822157582750111,0.435883844126755,0.042808841770490005,0.9666195875944941,0.982976391219302,176.83007960000396,0.14458538321046502,4.678132678132678,7.0,3.0,0.005,auto
commonsenseqa,Qwen/Qwen3-0.6B,qwen3_0_6b,latin,1221,0.5438165438165431,0.5151515007019041,0.571662545204162,7.055069396843831,0.87077383175036,0.428495412878093,0.067847530034884,0.9468478678516301,0.9723119566946381,164.9479257999992,0.13484425618356802,4.324324324324325,7.0,3.0,0.005,auto
truthfulqa_mc1,Qwen/Qwen3-0.6B,qwen3_0_6b,single,817,0.26438188494492004,0.23378212749958002,0.293757647275924,5.423366800962993,1.260547220617271,0.5748628414379401,0.40502779254187904,0.713019761766392,0.8392447263828611,39.86879659999977,0.048603491432026004,,,,,auto
